time,open,high,low,close,volume,spread,real_volume
2018-08-11,6135.9,6478.36,5989.2,6226.43,82037,455,0
2018-08-12,6224.49,6464.95,6161.02,6311.34,80940,443,0
2018-08-13,6311.19,6534.4,6140.48,6249.57,81728,99,0
2018-08-14,6249.32,6249.55,5875.75,6188.97,83081,395,0
2018-08-15,6189.04,6602.48,6180.97,6264.64,82996,560,0
2018-08-16,6264.79,6468.51,6197.67,6306.45,79854,570,0
2018-08-17,6305.77,6571.39,6281.39,6569.88,82295,754,0
2018-08-18,6569.84,6601.5,6306.7,6389.8,81804,438,0
2018-08-19,6389.92,6537.63,6310.27,6461.62,80360,429,0
2018-08-20,6461.6,6499.67,6211.95,6257.4,80956,425,0
2018-08-21,6257.51,6489.21,6245.36,6464.99,81294,420,0
2018-08-22,6464.93,6865.22,6240.97,6356.58,82309,489,0
2018-08-23,6356.87,6546.75,6341.54,6507.81,80835,550,0
2018-08-24,6507.9,6704.53,6427.39,6670.68,80658,1737,0
2018-08-25,6670.86,6765.72,6659.14,6726.9,80915,547,0
2018-08-26,6726.89,6768.47,6558.47,6700.56,80988,404,0
2018-08-27,6699.43,6924.57,6642.92,6901.75,69002,440,0
2018-08-28,6901.82,7120.5,6859.03,7071.81,80025,743,0
2018-08-29,7071.83,7116.51,6909.26,7026.19,78959,610,0
2018-08-30,7026.09,7048.83,6791.17,6977.35,78841,748,0
2018-08-31,6977.34,7080.17,6873.07,7006.69,79016,642,0
2018-09-01,7007.31,7266.57,7005.87,7183.48,78308,359,0
2018-09-02,7183.58,7330.35,7125.58,7289.16,79227,325,0
2018-09-03,7289.19,7323.95,7189.64,7252.05,77840,518,0
2018-09-04,7251.75,7397.21,7224.0,7352.02,78827,468,0
2018-09-05,7352.07,7381.25,6667.79,6682.54,79555,547,0
2018-09-06,6682.65,6704.38,6263.79,6491.29,80720,183,0
2018-09-07,6491.1,6525.62,6321.6,6395.25,79970,364,0
2018-09-08,6395.31,6462.4,6108.2,6181.74,78984,345,0
2018-09-09,6181.77,6431.62,6110.61,6233.03,77920,86,0
2018-09-10,6232.93,6349.54,6223.66,6300.26,78861,347,0
2018-09-11,6300.27,6391.34,6168.3,6277.33,79664,343,0
2018-09-12,6277.46,6340.08,6190.26,6323.16,78632,333,0
2018-09-13,6323.15,6522.99,6319.52,6481.34,79304,391,0
2018-09-14,6481.33,6580.98,6379.7,6472.92,79930,527,0
2018-09-15,6473.32,6557.69,6458.79,6509.47,77084,509,0
2018-09-16,6510.04,6515.17,6334.35,6486.0,76608,540,0
2018-09-17,6486.28,6520.82,6202.69,6247.04,78327,413,0
2018-09-18,6247.16,6379.16,6224.68,6327.26,78457,370,0
2018-09-19,6327.51,6510.14,6100.51,6387.5,77793,351,0
2018-09-20,6387.55,6531.07,6336.32,6488.62,78665,354,0
2018-09-21,6488.67,6775.12,6486.7,6747.69,79715,362,0
2018-09-22,6747.69,6819.8,6559.75,6707.01,77134,403,0
2018-09-23,6707.02,6767.12,6656.23,6698.01,75512,402,0
2018-09-24,6697.86,6716.98,6546.17,6578.89,78668,589,0
2018-09-25,6576.16,6579.43,6320.83,6430.88,79897,982,0
2018-09-26,6430.95,6539.45,6374.26,6455.73,78479,389,0
2018-09-27,6455.86,6730.47,6426.61,6681.8,78229,405,0
2018-09-28,6681.76,6791.08,6526.56,6617.0,78715,1090,0
2018-09-29,6617.0,6617.11,6457.83,6578.22,77470,541,0
2018-09-30,6578.39,6634.78,6515.75,6602.46,75369,610,0
2018-10-01,6602.52,6640.13,6482.71,6573.12,76478,735,0
2018-10-02,6573.17,6596.52,6449.93,6500.66,75396,850,0
2018-10-03,6500.69,6515.85,6397.68,6468.96,77011,923,0
2018-10-04,6469.01,6603.4,6454.02,6551.04,73584,929,0
2018-10-05,6551.03,6634.89,6511.7,6591.66,74957,978,0
2018-10-06,6592.03,6599.13,6523.81,6553.44,69200,1629,0
2018-10-07,6553.47,6590.94,6494.44,6575.1,71836,1766,0
2018-10-08,6575.28,6659.5,6526.84,6613.57,74359,1614,0
2018-10-09,6613.6,6621.45,6551.14,6597.32,64920,1609,0
2018-10-10,6597.33,6599.99,6439.26,6554.14,72735,552,0
2018-10-11,6554.11,6554.29,6125.21,6185.67,80360,550,0
2018-10-12,6184.21,6278.13,6133.34,6221.57,76122,522,0
2018-10-13,6220.83,6255.9,6204.43,6242.71,70453,481,0
2018-10-14,6242.77,6315.8,6207.56,6238.49,72874,517,0
2018-10-15,6238.42,7188.8,6203.04,6577.69,80785,163,0
2018-10-16,6577.68,6667.44,6508.23,6586.33,76544,732,0
2018-10-17,6586.53,6609.73,6522.75,6569.49,73401,670,0
2018-10-18,6569.47,6612.9,6442.55,6484.14,76556,602,0
2018-10-19,6485.17,6510.03,6423.61,6437.53,74711,548,0
2018-10-20,6437.54,6497.49,6411.95,6477.18,72533,580,0
2018-10-21,6477.19,6539.51,6468.78,6485.46,69834,505,0
2018-10-22,6484.05,6512.73,6434.49,6470.28,71497,547,0
2018-10-23,6470.42,6485.68,6416.2,6457.59,72579,501,0
2018-10-24,6457.6,6528.39,6446.29,6464.36,71886,484,0
2018-10-25,6464.3,6474.8,6401.05,6440.91,68708,456,0
2018-10-26,6440.99,6505.87,6423.98,6451.0,71158,485,0
2018-10-27,6451.13,6470.83,6406.6,6428.56,65095,509,0
2018-10-28,6428.56,6444.6,6389.1,6424.17,64595,951,0
